Date : 2024-08-28 00:52:38
Directory : /home/vash/anduril-1-vash
Total : 289 files,  29207 codes, 7622 comments, 5673 blanks, all 42502 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/boost/hwdef.h                    | C++          |         16 |         37 |          5 |         58 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/hwdef.c                          | C            |         41 |          8 |         15 |         64 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/hwdef.h                          | C++          |         72 |         65 |         27 |        164 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/nofet/anduril.h                  | C++          |         36 |         17 |         11 |         64 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/nofet/hwdef.c                    | C            |         37 |          8 |         16 |         61 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-m44/anduril.h                        | C++          |         54 |         55 |         24 |        133 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-m44/hwdef.c                          | C            |        172 |         41 |         50 |        263 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-m44/hwdef.h                          | C++          |         83 |         64 |         29 |        176 |
| /home/vash/anduril-1-vash/hw/hank/vdivider-1634.h                               | C++          |         15 |         19 |          6 |         40 |
| /home/vash/anduril-1-vash/hw/lumintop/blf-gt-mini/anduril.h                     | C++          |          7 |         12 |          5 |         24 |
| /home/vash/anduril-1-vash/hw/lumintop/blf-gt-mini/hwdef.h                       | C++          |          5 |          6 |          4 |         15 |
| /home/vash/anduril-1-vash/hw/lumintop/blf-gt/anduril.h                          | C++          |         33 |         21 |         14 |         68 |
| /home/vash/anduril-1-vash/hw/lumintop/blf-gt/hwdef.h                            | C++          |         48 |         30 |         26 |        104 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3a/219/anduril.h                        | C++          |          8 |          3 |          4 |         15 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3a/anduril.h                            | C++          |         27 |         14 |         13 |         54 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3a/hwdef.c                              | C            |         52 |          6 |         14 |         72 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3a/hwdef.h                              | C++          |         49 |         26 |         28 |        103 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3a/nofet/anduril.h                      | C++          |         33 |         10 |         10 |         53 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3x-lume1/README.md                      | Markdown     |         26 |          0 |         10 |         36 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3x-lume1/anduril.h                      | C++          |         37 |         23 |         20 |         80 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3x-lume1/hwdef.c                        | C            |         63 |         48 |         34 |        145 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3x-lume1/hwdef.h                        | C++          |         91 |        104 |         32 |        227 |
| /home/vash/anduril-1-vash/hw/lumintop/fw3x-lume1/rgbswap/anduril.h              | C++          |          3 |          6 |          3 |         12 |
| /home/vash/anduril-1-vash/hw/mateminco/mf01-mini/anduril.h                      | C++          |         31 |         28 |         15 |         74 |
| /home/vash/anduril-1-vash/hw/mateminco/mf01-mini/hwdef.h                        | C++          |         47 |         24 |         27 |         98 |
| /home/vash/anduril-1-vash/hw/mateminco/mf01s/anduril.h                          | C++          |         26 |         20 |         14 |         60 |
| /home/vash/anduril-1-vash/hw/mateminco/mf01s/hwdef.h                            | C++          |         52 |         26 |         26 |        104 |
| /home/vash/anduril-1-vash/hw/mateminco/mt35-mini/anduril.h                      | C++          |         32 |         16 |         16 |         64 |
| /home/vash/anduril-1-vash/hw/mateminco/mt35-mini/hwdef.h                        | C++          |         43 |         23 |         25 |         91 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-lt1-t1616/anduril.h                     | C++          |         52 |         33 |         24 |        109 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-lt1-t1616/hwdef.c                       | C            |        138 |         28 |         45 |        211 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-lt1-t1616/hwdef.h                       | C++          |         78 |         49 |         32 |        159 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-lt1/anduril.h                           | C++          |         49 |         36 |         19 |        104 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-lt1/hwdef.c                             | C            |        119 |         48 |         38 |        205 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-lt1/hwdef.h                             | C++          |         52 |         31 |         29 |        112 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-q8-t1616/anduril.h                      | C++          |         36 |         27 |         18 |         81 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-q8-t1616/hwdef.h                        | C++          |         63 |         44 |         29 |        136 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-q8/anduril.h                            | C++          |         32 |         24 |         15 |         71 |
| /home/vash/anduril-1-vash/hw/sofirn/blf-q8/hwdef.h                              | C++          |          8 |          7 |          6 |         21 |
| /home/vash/anduril-1-vash/hw/sofirn/lt1s-pro/anduril.h                          | C++          |         48 |         55 |         21 |        124 |
| /home/vash/anduril-1-vash/hw/sofirn/lt1s-pro/hwdef.c                            | C            |        152 |         33 |         53 |        238 |
| /home/vash/anduril-1-vash/hw/sofirn/lt1s-pro/hwdef.h                            | C++          |         68 |         52 |         29 |        149 |
| /home/vash/anduril-1-vash/hw/sofirn/sc21-pro/anduril.h                          | C++          |          5 |          4 |          3 |         12 |
| /home/vash/anduril-1-vash/hw/sofirn/sp10-pro/anduril.h                          | C++          |         41 |         21 |         18 |         80 |
| /home/vash/anduril-1-vash/hw/sofirn/sp10-pro/hwdef.c                            | C            |         39 |          9 |         16 |         64 |
| /home/vash/anduril-1-vash/hw/sofirn/sp10-pro/hwdef.h                            | C++          |         81 |         44 |         31 |        156 |
| /home/vash/anduril-1-vash/hw/sofirn/sp36-t1616/anduril.h                        | C++          |         18 |         11 |          6 |         35 |
| /home/vash/anduril-1-vash/hw/sofirn/sp36/anduril.h                              | C++          |         18 |         11 |          6 |         35 |
| /home/vash/anduril-1-vash/hw/thefreeman/avr32dd20-devkit/anduril.h              | C++          |         51 |         40 |         32 |        123 |
| /home/vash/anduril-1-vash/hw/thefreeman/avr32dd20-devkit/hwdef.c                | C            |         70 |         31 |         31 |        132 |
| /home/vash/anduril-1-vash/hw/thefreeman/avr32dd20-devkit/hwdef.h                | C++          |         92 |         94 |         40 |        226 |
| /home/vash/anduril-1-vash/hw/thefreeman/boost-fwaa-mp3432-hdr-dac-rgb/anduril.h | C++          |         47 |         39 |         32 |        118 |
| /home/vash/anduril-1-vash/hw/thefreeman/boost-fwaa-mp3432-hdr-dac-rgb/hwdef.h   | C++          |         70 |         72 |         31 |        173 |
| /home/vash/anduril-1-vash/hw/thefreeman/boost21-mp3431-hdr-dac-argb/anduril.h   | C++          |         49 |         38 |         33 |        120 |
| /home/vash/anduril-1-vash/hw/thefreeman/boost21-mp3431-hdr-dac-argb/hwdef.c     | C            |         49 |         19 |         23 |         91 |
| /home/vash/anduril-1-vash/hw/thefreeman/boost21-mp3431-hdr-dac-argb/hwdef.h     | C++          |         70 |         67 |         30 |        167 |
| /home/vash/anduril-1-vash/hw/thefreeman/lin16dac/anduril.h                      | C++          |         30 |         21 |         11 |         62 |
| /home/vash/anduril-1-vash/hw/thefreeman/lin16dac/hwdef.c                        | C            |         48 |         22 |         24 |         94 |
| /home/vash/anduril-1-vash/hw/thefreeman/lin16dac/hwdef.h                        | C++          |         58 |         39 |         27 |        124 |
| /home/vash/anduril-1-vash/hw/wurkkos/anduril.h                                  | C++          |          9 |         10 |          8 |         27 |
| /home/vash/anduril-1-vash/hw/wurkkos/fc13/README.md                             | Markdown     |          6 |          0 |          5 |         11 |
| /home/vash/anduril-1-vash/hw/wurkkos/fc13/anduril.h                             | C++          |          5 |          5 |          5 |         15 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts10/anduril.h                             | C++          |         43 |         25 |         16 |         84 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts10/hwdef.c                               | C            |         41 |         10 |         15 |         66 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts10/hwdef.h                               | C++          |         63 |         40 |         29 |        132 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts10/rgbaux/anduril.h                      | C++          |         45 |         23 |         15 |         83 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts11/README.md                             | Markdown     |          5 |          0 |          4 |          9 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts11/anduril.h                             | C++          |          5 |          7 |          5 |         17 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts25/README.md                             | Markdown     |         14 |          0 |          7 |         21 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts25/anduril.h                             | C++          |         43 |         27 |         17 |         87 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts25/hwdef.c                               | C            |         38 |         10 |         15 |         63 |
| /home/vash/anduril-1-vash/hw/wurkkos/ts25/hwdef.h                               | C++          |         66 |         44 |         30 |        140 |
| /home/vash/anduril-1-vash/ui/anduril/Makefile                                   | Makefile     |         10 |          0 |          5 |         15 |
| /home/vash/anduril-1-vash/ui/anduril/anduril.c                                  | C            |        245 |         84 |         92 |        421 |
| /home/vash/anduril-1-vash/ui/anduril/aux-leds.c                                 | C            |        223 |         35 |         25 |        283 |
| /home/vash/anduril-1-vash/ui/anduril/aux-leds.h                                 | C++          |         53 |         24 |          7 |         84 |
| /home/vash/anduril-1-vash/ui/anduril/battcheck-mode-fsm.h                       | C++          |         11 |          5 |          3 |         19 |
| /home/vash/anduril-1-vash/ui/anduril/battcheck-mode.c                           | C            |         56 |         16 |         11 |         83 |
| /home/vash/anduril-1-vash/ui/anduril/battcheck-mode.h                           | C++          |          6 |          3 |          4 |         13 |
| /home/vash/anduril-1-vash/ui/anduril/beacon-mode.c                              | C            |         38 |         10 |          6 |         54 |
| /home/vash/anduril-1-vash/ui/anduril/beacon-mode.h                              | C++          |          3 |          4 |          3 |         10 |
| /home/vash/anduril-1-vash/ui/anduril/candle-mode.c                              | C            |        177 |         53 |         15 |        245 |
| /home/vash/anduril-1-vash/ui/anduril/candle-mode.h                              | C++          |         14 |          5 |          6 |         25 |
| /home/vash/anduril-1-vash/ui/anduril/channel-modes.c                            | C            |        153 |         52 |         34 |        239 |
| /home/vash/anduril-1-vash/ui/anduril/channel-modes.h                            | C++          |         14 |          5 |          8 |         27 |
| /home/vash/anduril-1-vash/ui/anduril/config-default.h                           | C++          |         66 |        121 |         42 |        229 |
| /home/vash/anduril-1-vash/ui/anduril/config-mode.c                              | C            |        134 |         44 |         19 |        197 |
| /home/vash/anduril-1-vash/ui/anduril/config-mode.h                              | C++          |         13 |          6 |          6 |         25 |
| /home/vash/anduril-1-vash/ui/anduril/factory-reset-fsm.h                        | C++          |          4 |          3 |          4 |         11 |
| /home/vash/anduril-1-vash/ui/anduril/factory-reset.c                            | C            |         47 |         18 |          9 |         74 |
| /home/vash/anduril-1-vash/ui/anduril/factory-reset.h                            | C++          |          2 |          3 |          4 |          9 |
| /home/vash/anduril-1-vash/ui/anduril/ff-strobe-modes.c                          | C            |         44 |         10 |          9 |         63 |
| /home/vash/anduril-1-vash/ui/anduril/ff-strobe-modes.h                          | C++          |          9 |          3 |          4 |         16 |
| /home/vash/anduril-1-vash/ui/anduril/load-save-config-fsm.h                     | C++          |        130 |         17 |         19 |        166 |
| /home/vash/anduril-1-vash/ui/anduril/load-save-config.c                         | C            |         22 |          3 |          9 |         34 |
| /home/vash/anduril-1-vash/ui/anduril/load-save-config.h                         | C++          |        146 |         34 |         26 |        206 |
| /home/vash/anduril-1-vash/ui/anduril/lockout-mode-fsm.h                         | C++          |          4 |          4 |          4 |         12 |
| /home/vash/anduril-1-vash/ui/anduril/lockout-mode.c                             | C            |        192 |         57 |         24 |        273 |
| /home/vash/anduril-1-vash/ui/anduril/lockout-mode.h                             | C++          |          8 |          4 |          5 |         17 |
| /home/vash/anduril-1-vash/ui/anduril/misc.c                                     | C            |         26 |         20 |          9 |         55 |
| /home/vash/anduril-1-vash/ui/anduril/misc.h                                     | C++          |          8 |          4 |          4 |         16 |
| /home/vash/anduril-1-vash/ui/anduril/momentary-mode.c                           | C            |         47 |         16 |          8 |         71 |
| /home/vash/anduril-1-vash/ui/anduril/momentary-mode.h                           | C++          |          4 |          4 |          4 |         12 |
| /home/vash/anduril-1-vash/ui/anduril/off-mode.c                                 | C            |        316 |         67 |         40 |        423 |
| /home/vash/anduril-1-vash/ui/anduril/off-mode.h                                 | C++          |          3 |          5 |          5 |         13 |
| /home/vash/anduril-1-vash/ui/anduril/ramp-mode-fsm.h                            | C++          |         18 |         12 |          9 |         39 |
| /home/vash/anduril-1-vash/ui/anduril/ramp-mode.c                                | C            |        613 |        124 |         61 |        798 |
| /home/vash/anduril-1-vash/ui/anduril/ramp-mode.h                                | C++          |        190 |         26 |         31 |        247 |
| /home/vash/anduril-1-vash/ui/anduril/smooth-steps.c                             | C            |         29 |         11 |          8 |         48 |
| /home/vash/anduril-1-vash/ui/anduril/smooth-steps.h                             | C++          |          9 |          3 |          8 |         20 |
| /home/vash/anduril-1-vash/ui/anduril/sos-mode.c                                 | C            |         51 |         13 |         12 |         76 |
| /home/vash/anduril-1-vash/ui/anduril/sos-mode.h                                 | C++          |          4 |          4 |          4 |         12 |
| /home/vash/anduril-1-vash/ui/anduril/strobe-modes-fsm.h                         | C++          |         46 |         10 |          9 |         65 |
| /home/vash/anduril-1-vash/ui/anduril/strobe-modes.c                             | C            |        414 |         74 |         49 |        537 |
| /home/vash/anduril-1-vash/ui/anduril/strobe-modes.h                             | C++          |         71 |         11 |         22 |        104 |
| /home/vash/anduril-1-vash/ui/anduril/sunset-timer.c                             | C            |         41 |         13 |          7 |         61 |
| /home/vash/anduril-1-vash/ui/anduril/sunset-timer.h                             | C++          |          7 |          5 |          6 |         18 |
| /home/vash/anduril-1-vash/ui/anduril/tactical-mode.c                            | C            |         68 |         30 |         17 |        115 |
| /home/vash/anduril-1-vash/ui/anduril/tactical-mode.h                            | C++          |         10 |          8 |          5 |         23 |
| /home/vash/anduril-1-vash/ui/anduril/tempcheck-mode.c                           | C            |         40 |          8 |          9 |         57 |
| /home/vash/anduril-1-vash/ui/anduril/tempcheck-mode.h                           | C++          |          5 |          3 |          5 |         13 |
| /home/vash/anduril-1-vash/ui/anduril/tint-ramping.c                             | C            |         50 |         26 |         11 |         87 |
| /home/vash/anduril-1-vash/ui/anduril/tint-ramping.h                             | C++          |         10 |          6 |          6 |         22 |
| /home/vash/anduril-1-vash/ui/anduril/version-check-mode.c                       | C            |         20 |          8 |          7 |         35 |
| /home/vash/anduril-1-vash/ui/anduril/version-check-mode.h                       | C++          |          9 |          5 |          6 |         20 |
| /home/vash/anduril-1-vash/ui/anduril/version.h                                  | C++          |          1 |          3 |          1 |          5 |
| /home/vash/anduril-1-vash/ui/baton/baton.c                                      | C            |        134 |         42 |         13 |        189 |
| /home/vash/anduril-1-vash/ui/darkhorse/darkhorse.c                              | C            |        265 |         71 |         32 |        368 |
| /home/vash/anduril-1-vash/ui/fireflies-ui/Makefile                              | Makefile     |          5 |          0 |          3 |          8 |
| /home/vash/anduril-1-vash/ui/fireflies-ui/build-all.sh                          | Shell Script |          9 |          1 |          4 |         14 |
| /home/vash/anduril-1-vash/ui/fireflies-ui/cfg-ff-e01.h                          | C++          |         21 |         12 |         12 |         45 |
| /home/vash/anduril-1-vash/ui/fireflies-ui/cfg-ff-e07-2.h                        | C++          |         14 |          8 |          6 |         28 |
| /home/vash/anduril-1-vash/ui/fireflies-ui/fireflies-ui.c                        | C            |      1,810 |        382 |        195 |      2,387 |
| /home/vash/anduril-1-vash/ui/meteor/meteor.c                                    | C            |        403 |        114 |         40 |        557 |
| /home/vash/anduril-1-vash/ui/momentary/momentary.c                              | C            |         47 |         21 |         13 |         81 |
| /home/vash/anduril-1-vash/ui/ramping-ui/ramping-ui.c                            | C            |        271 |         67 |         22 |        360 |
| /home/vash/anduril-1-vash/ui/rampingios/Makefile                                | Makefile     |          5 |          0 |          3 |          8 |
| /home/vash/anduril-1-vash/ui/rampingios/build-all.sh                            | Shell Script |          9 |          1 |          4 |         14 |
| /home/vash/anduril-1-vash/ui/rampingios/rampingios-v3.md                        | Markdown     |        200 |          0 |         63 |        263 |
| /home/vash/anduril-1-vash/ui/rampingios/rampingiosv3.c                          | C            |        954 |        193 |        107 |      1,254 |
| /home/vash/anduril-1-vash/ui/rampingios/rampingiosv3.svg                        | XML          |      4,107 |          5 |          2 |      4,114 |
| /home/vash/anduril-1-vash/ui/werner/Makefile                                    | Makefile     |          5 |          0 |          3 |          8 |
| /home/vash/anduril-1-vash/ui/werner/build-all.sh                                | Shell Script |         11 |          1 |          4 |         16 |
| /home/vash/anduril-1-vash/ui/werner/werner.c                                    | C            |        523 |        124 |         69 |        716 |
| Total                                                                           |              |     29,207 |      7,622 |      5,673 |     42,502 |
+---------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
